planned_stops,planned_miles,planned_cases,planned_weight_lbs,planned_duration_min,is_monday,is_month_end,holiday_week_flag,warehouse_load_delay_min,picker_shortage_flag,load_complexity_score,start_delay_min,driver_tenure_days,driver_route_familiarity,driver_avg_delay_rate,retail_stop_pct,restaurant_stop_pct,weather_severity,traffic_index,cases_per_stop,miles_per_stop,weight_per_case,is_new_driver,high_complexity_route,load_delay_over_30,is_high_traffic,restaurant_heavy,complexity_index,window_pressure_ord,start_delay_bucket,dc_DC_CHICAGO,dc_DC_DALLAS,dc_DC_DENVER,dc_DC_NEWARK,dc_DC_PHOENIX,region_Mountain,region_Northeast,region_Southeast,region_Southwest,route_type_suburban,route_type_urban,vehicle_type_tractor_trailer,vehicle_type_van,day_of_week_Mon,day_of_week_Thu,day_of_week_Tue,day_of_week_Wed,is_delayed
34,86,1206,23203,610,0,0,0,34,0,5.5,23,144,1,0.07,0.56,0.33,0,56,35.470588235294116,2.5294117647058822,19.239635157545607,0,1,1,0,0,19.04,0,1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0
23,33,751,18583,332,0,0,0,54,0,5.4,42,411,1,0.232,0.09,0.87,2,55,32.65217391304348,1.434782608695652,24.74434087882823,0,0,1,0,1,12.65,2,2,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0
14,118,370,9046,314,0,0,0,40,1,9.8,19,643,1,0.202,0.55,0.38,0,60,26.428571428571427,8.428571428571429,24.44864864864865,0,0,1,0,0,8.4,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
18,101,545,12562,379,0,0,0,48,1,5.9,17,850,1,0.252,0.07,0.88,1,67,30.27777777777778,5.611111111111111,23.04954128440367,0,0,1,0,1,12.06,2,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,1
24,46,1161,23538,349,0,0,0,94,0,8.6,21,533,1,0.297,0.35,0.55,1,68,48.375,1.9166666666666667,20.27390180878553,0,0,1,0,1,16.32,0,1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,1
24,61,373,10329,421,0,0,0,31,0,7.0,9,769,1,0.222,0.28,0.67,1,76,15.541666666666666,2.5416666666666665,27.691689008042896,0,0,1,1,1,18.24,1,0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,0
8,205,242,7435,337,0,0,0,42,0,6.9,24,1222,1,0.252,0.1,0.51,1,67,30.25,25.625,30.723140495867767,0,0,1,0,1,5.36,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
26,20,917,27104,422,0,0,0,9,0,1.5,15,1108,1,0.304,0.92,0.03,0,74,35.26923076923077,0.7692307692307693,29.557251908396946,0,1,0,1,0,19.24,0,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,0
28,61,922,25412,410,0,0,0,41,0,4.4,9,438,0,0.172,0.7,0.16,1,77,32.92857142857143,2.1785714285714284,27.56182212581345,0,1,1,1,0,21.56,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,0
31,118,657,18354,591,0,0,0,13,0,3.4,14,90,0,0.226,0.11,0.73,1,69,21.193548387096776,3.806451612903226,27.93607305936073,0,0,0,0,1,21.39,1,1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0
21,57,752,14345,362,0,0,0,19,0,3.9,0,835,1,0.197,0.17,0.66,2,68,35.80952380952381,2.7142857142857144,19.075797872340427,0,0,0,0,1,14.28,2,0,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,0
21,20,643,15008,302,0,0,0,18,0,4.3,12,256,1,0.087,0.42,0.52,1,82,30.61904761904762,0.9523809523809523,23.34059097978227,0,0,0,1,1,17.22,1,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0
37,42,1276,29916,591,0,0,0,17,0,8.5,0,445,1,0.122,0.64,0.04,1,67,34.486486486486484,1.135135135135135,23.44514106583072,0,1,0,0,0,24.79,1,0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,0
24,81,917,17587,497,0,0,0,29,0,4.7,31,676,1,0.158,0.18,0.77,2,22,38.208333333333336,3.375,19.17884405670665,0,0,0,0,1,5.28,2,2,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,0
27,80,937,22695,516,0,0,0,25,0,2.3,10,102,0,0.195,0.7,0.08,1,42,34.7037037037037,2.962962962962963,24.220917822838846,0,1,0,0,0,11.34,2,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0
25,120,729,22493,512,0,0,0,26,0,5.2,14,548,1,0.171,0.37,0.55,3,45,29.16,4.8,30.854595336076816,0,0,0,0,1,11.25,0,1,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,0
24,55,1111,24409,388,0,0,0,25,0,2.2,20,774,1,0.025,0.86,0.0,0,58,46.291666666666664,2.2916666666666665,21.97029702970297,0,0,0,0,0,13.92,2,1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0
6,150,159,3995,310,0,0,0,13,0,3.3,4,438,1,0.153,0.34,0.61,1,50,26.5,25.0,25.12578616352201,0,0,0,0,1,3.0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
23,68,721,18650,393,0,0,0,20,0,3.8,11,1682,1,0.108,0.85,0.0,1,61,31.347826086956523,2.9565217391304346,25.866851595006935,0,0,0,0,0,14.03,0,1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0
20,98,825,25100,428,0,0,0,26,0,6.2,0,392,1,0.302,0.07,0.92,1,23,41.25,4.9,30.424242424242426,0,0,0,0,1,4.6,1,0,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,0
23,63,1087,34846,446,0,0,0,76,1,7.9,33,759,1,0.129,0.22,0.44,0,70,47.26086956521739,2.739130434782609,32.05703771849126,0,0,1,0,0,16.1,1,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1
10,202,399,8680,441,0,0,0,7,0,2.9,8,872,1,0.229,0.52,0.23,1,71,39.9,20.2,21.75438596491228,0,0,0,1,0,7.1,1,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,0
25,65,831,21789,442,0,0,0,25,0,9.1,0,339,1,0.216,0.08,0.66,1,61,33.24,2.6,26.220216606498195,0,0,0,0,1,15.25,1,0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,1
19,103,694,20059,440,0,0,0,20,0,4.2,23,294,1,0.074,0.43,0.48,0,58,36.526315789473685,5.421052631578948,28.903458213256485,0,0,0,0,0,11.02,0,1,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,0
15,113,568,14190,375,0,0,0,23,0,6.9,16,1320,1,0.237,0.41,0.4,1,34,37.86666666666667,7.533333333333333,24.982394366197184,0,0,0,0,0,5.1,0,1,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,0
13,101,504,11305,318,0,0,0,36,0,5.8,21,441,1,0.23,0.54,0.28,0,52,38.76923076923077,7.769230769230769,22.430555555555557,0,0,1,0,0,6.76,0,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0
23,95,836,24132,438,0,0,0,16,0,2.7,25,826,1,0.342,0.96,0.0,1,50,36.34782608695652,4.130434782608695,28.86602870813397,0,0,0,0,0,11.5,1,1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,1
20,128,845,26465,511,0,0,0,31,0,3.8,28,959,1,0.34,0.56,0.31,2,49,42.25,6.4,31.319526627218934,0,0,1,0,0,9.8,1,1,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,0
14,276,468,11837,587,0,0,0,54,0,8.4,33,861,1,0.153,0.16,0.81,0,35,33.42857142857143,19.714285714285715,25.292735042735043,0,0,1,0,1,4.9,1,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0
18,62,768,15914,362,0,0,0,9,0,1.5,42,178,0,0.19,0.64,0.17,0,71,42.666666666666664,3.4444444444444446,20.721354166666668,0,0,0,1,0,12.78,0,2,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,0
19,20,502,12043,334,0,0,0,15,0,6.9,0,787,1,0.242,0.43,0.34,2,99,26.42105263157895,1.0526315789473684,23.99003984063745,0,0,0,1,0,18.81,0,0,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,0
28,95,874,25936,540,0,0,0,27,1,5.7,41,210,1,0.022,0.63,0.29,0,66,31.214285714285715,3.392857142857143,29.675057208237988,0,1,0,0,0,18.48,0,2,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0
17,132,612,18365,428,0,0,0,30,0,4.9,47,583,1,0.174,0.86,0.0,0,68,36.0,7.764705882352941,30.008169934640524,0,0,0,0,0,11.56,0,2,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,1
4,161,192,5422,285,0,0,0,26,0,1.0,15,589,1,0.084,0.46,0.34,0,80,48.0,40.25,28.239583333333332,0,0,0,1,0,3.2,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
23,94,833,18582,416,0,0,1,17,0,4.8,22,600,1,0.289,0.42,0.35,1,55,36.21739130434783,4.086956521739131,22.30732292917167,0,0,0,0,0,12.65,1,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,0
22,130,693,18279,456,0,0,0,31,0,5.9,45,300,0,0.108,0.41,0.52,2,76,31.5,5.909090909090909,26.376623376623378,0,0,1,1,1,16.72,0,2,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,0
22,87,1060,27593,433,0,0,0,17,0,7.6,18,527,1,0.302,0.36,0.29,0,81,48.18181818181818,3.9545454545454546,26.0311320754717,0,0,0,1,0,17.82,1,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0
28,89,953,23325,513,0,0,0,24,0,6.0,18,978,1,0.26,0.5,0.24,2,49,34.035714285714285,3.1785714285714284,24.475341028331584,0,1,0,0,0,13.72,1,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,1
33,54,743,21982,535,0,0,0,25,0,6.1,13,817,1,0.142,0.59,0.32,0,82,22.515151515151516,1.6363636363636365,29.585464333781964,0,0,0,1,0,27.06,1,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,1
27,53,940,26145,431,0,0,0,18,0,4.5,0,1079,1,0.238,0.45,0.09,1,48,34.81481481481482,1.962962962962963,27.81382978723404,0,1,0,0,0,12.96,1,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0
21,117,725,23100,451,0,0,0,111,0,7.5,57,406,1,0.123,0.25,0.71,1,67,34.523809523809526,5.571428571428571,31.862068965517242,0,0,1,0,1,14.07,0,2,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,1
15,239,613,16868,573,0,0,0,41,0,6.9,26,1120,1,0.046,0.83,0.0,1,38,40.86666666666667,15.933333333333334,27.517128874388256,0,0,1,0,0,5.7,0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0
27,25,1009,25942,395,0,0,0,20,0,7.1,28,1554,1,0.286,0.56,0.4,1,35,37.370370370370374,0.9259259259259259,25.710604558969276,0,1,0,0,0,9.45,0,1,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,0
34,61,855,21423,535,0,0,0,19,0,5.7,7,1880,1,0.181,0.86,0.0,1,84,25.147058823529413,1.7941176470588236,25.056140350877193,0,1,0,1,0,28.56,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,1
27,41,801,22284,419,0,0,0,26,0,2.7,9,412,1,0.107,0.51,0.0,0,53,29.666666666666668,1.5185185185185186,27.820224719101123,0,1,0,0,0,14.31,2,0,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,0
23,94,676,16919,435,0,0,0,17,0,3.8,24,217,1,0.1,0.65,0.0,0,75,29.391304347826086,4.086956521739131,25.02810650887574,0,0,0,1,0,17.25,1,1,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,0
30,56,847,17685,450,0,0,0,21,0,6.6,10,273,0,0.309,0.81,0.0,1,71,28.233333333333334,1.8666666666666667,20.87957497048406,0,1,0,1,0,21.3,0,0,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,0
26,53,1022,21073,456,0,0,0,31,0,7.7,41,891,1,0.01,0.68,0.24,0,91,39.30769230769231,2.0384615384615383,20.619373776908024,0,1,1,1,0,23.66,0,2,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
16,50,535,12297,289,0,0,0,35,0,5.8,2,691,1,0.204,0.77,0.15,1,95,33.4375,3.125,22.985046728971962,0,0,1,1,0,15.2,1,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0
30,40,1205,30328,436,0,0,0,18,0,6.1,13,2054,1,0.218,0.68,0.31,1,44,40.166666666666664,1.3333333333333333,25.168464730290456,0,1,0,0,0,13.2,2,1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
26,86,1113,28383,503,0,0,0,34,0,3.2,14,1209,1,0.123,0.23,0.62,2,53,42.80769230769231,3.3076923076923075,25.50134770889488,0,1,1,0,1,13.78,1,1,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,0
25,25,1192,32367,330,0,0,0,16,0,7.5,23,981,1,0.078,0.38,0.52,2,68,47.68,1.0,27.153523489932887,0,0,0,0,1,17.0,0,1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
13,128,473,12226,356,0,0,0,21,0,5.0,34,1624,1,0.257,0.88,0.0,1,66,36.38461538461539,9.846153846153847,25.847780126849894,0,0,0,0,0,8.58,2,2,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,0
12,217,243,5959,522,0,0,0,19,0,2.0,34,1100,1,0.261,0.7,0.26,1,45,20.25,18.083333333333332,24.522633744855966,0,0,0,0,0,5.4,1,2,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0
13,175,542,13511,399,0,0,1,35,0,3.8,37,398,0,0.37,0.37,0.48,2,35,41.69230769230769,13.461538461538462,24.928044280442805,0,0,1,0,0,4.55,2,2,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,1
9,202,321,7469,415,0,0,0,45,0,3.9,29,693,1,0.208,0.64,0.3,1,79,35.666666666666664,22.444444444444443,23.26791277258567,0,0,1,1,0,7.11,2,1,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,0
30,79,806,22521,496,0,0,0,16,0,3.3,13,990,1,0.096,0.4,0.54,0,99,26.866666666666667,2.6333333333333333,27.941687344913152,0,1,0,1,1,29.7,1,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0
7,225,255,6694,439,0,0,1,16,0,4.2,17,630,1,0.101,0.22,0.59,2,49,36.42857142857143,32.142857142857146,26.250980392156862,0,0,0,0,1,3.43,1,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0
16,61,401,11356,272,0,0,0,11,0,4.7,4,166,1,0.01,0.26,0.65,0,56,25.0625,3.8125,28.31920199501247,0,0,0,0,1,8.96,0,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
27,73,871,21952,467,0,0,0,36,0,4.4,0,966,1,0.119,0.37,0.51,0,45,32.25925925925926,2.7037037037037037,25.20321469575201,0,1,1,0,1,12.15,0,0,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,0
26,48,679,23179,429,0,0,0,47,0,4.7,0,1825,1,0.153,0.64,0.23,1,78,26.115384615384617,1.8461538461538463,34.13696612665685,0,0,1,1,0,20.28,0,0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,0
25,189,1326,37858,649,0,0,0,21,0,4.4,32,1667,1,0.103,0.61,0.35,1,69,53.04,7.56,28.55052790346908,0,0,0,0,0,17.25,0,2,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0
21,128,723,17506,478,0,0,0,16,0,2.9,32,253,0,0.01,0.3,0.65,2,48,34.42857142857143,6.095238095238095,24.213001383125864,0,0,0,0,1,10.08,0,2,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,0
15,163,411,11984,454,0,0,0,11,0,4.4,6,115,0,0.224,0.68,0.0,1,69,27.4,10.866666666666667,29.15815085158151,0,0,0,0,0,10.35,1,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0
22,92,839,21744,483,0,0,0,67,1,5.7,17,942,0,0.2,0.79,0.17,2,77,38.13636363636363,4.181818181818182,25.916567342073897,0,0,1,1,0,16.94,2,1,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,1
16,110,552,13812,356,0,0,0,52,0,4.2,27,2222,1,0.279,0.33,0.26,1,67,34.5,6.875,25.02173913043478,0,0,1,0,0,10.72,2,1,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,0
28,95,675,16740,555,0,0,0,59,1,5.3,52,1163,1,0.166,0.43,0.0,1,72,24.107142857142858,3.392857142857143,24.8,0,0,1,1,0,20.16,1,2,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,1
30,76,963,26628,499,0,0,0,11,0,5.2,0,1084,1,0.278,0.7,0.0,0,100,32.1,2.533333333333333,27.65109034267913,0,1,0,1,0,30.0,2,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,1
23,103,573,12790,434,0,0,0,35,0,4.1,12,307,1,0.101,0.47,0.33,2,70,24.91304347826087,4.478260869565218,22.32111692844677,0,0,1,0,0,16.1,1,1,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,1
27,73,1095,28333,470,0,0,1,31,0,3.7,15,142,0,0.104,0.61,0.27,2,73,40.55555555555556,2.7037037037037037,25.87488584474886,0,1,1,1,0,19.71,0,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,0
6,184,190,5802,352,0,0,0,18,0,5.7,4,669,0,0.257,0.09,0.85,1,65,31.666666666666668,30.666666666666668,30.53684210526316,0,0,0,0,1,3.9,1,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,0
23,97,835,21659,479,0,0,0,46,1,5.7,23,190,1,0.363,0.61,0.22,0,61,36.30434782608695,4.217391304347826,25.938922155688623,0,0,1,0,0,14.03,0,1,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,1
30,96,947,30044,505,0,0,0,63,1,8.9,17,231,0,0.168,0.3,0.51,1,94,31.566666666666666,3.2,31.72544878563886,0,1,1,1,1,28.2,0,1,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,1
26,93,966,23797,509,0,0,0,9,0,3.0,13,2436,1,0.01,0.75,0.0,0,69,37.15384615384615,3.576923076923077,24.634575569358176,0,1,0,0,0,17.94,1,1,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,0
19,93,951,24281,367,0,0,1,33,1,6.4,21,1467,1,0.334,0.69,0.3,2,57,50.05263157894737,4.894736842105263,25.532071503680335,0,0,1,0,0,10.83,0,1,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,0
24,82,520,12491,400,0,0,0,16,0,1.0,36,270,0,0.338,0.57,0.41,1,100,21.666666666666668,3.4166666666666665,24.021153846153847,0,0,0,1,0,24.0,0,2,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0
11,198,166,3238,457,0,0,0,46,1,6.7,30,1199,1,0.148,0.57,0.3,0,52,15.090909090909092,18.0,19.50602409638554,0,0,1,0,0,5.72,0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0
25,97,872,17868,513,0,0,0,20,0,4.7,10,37,0,0.041,0.61,0.39,1,32,34.88,3.88,20.490825688073393,1,0,0,0,0,8.0,1,0,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,0
19,98,586,17814,436,0,0,1,17,0,6.2,3,592,0,0.221,0.61,0.12,2,39,30.842105263157894,5.157894736842105,30.399317406143346,0,0,0,0,0,7.41,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0
18,119,651,18010,393,0,0,0,23,0,6.7,46,516,1,0.208,0.07,0.72,1,58,36.166666666666664,6.611111111111111,27.665130568356375,0,0,0,0,1,10.44,2,2,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0
33,50,1052,31291,477,0,0,0,24,0,2.3,30,1107,1,0.131,0.17,0.72,2,45,31.87878787878788,1.5151515151515151,29.744296577946766,0,1,0,0,1,14.85,1,1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0
20,235,869,23581,602,0,0,0,33,0,6.3,10,1093,1,0.152,0.49,0.47,2,89,43.45,11.75,27.13578826237054,0,0,1,1,0,17.8,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
10,211,289,7379,472,0,0,0,8,0,3.9,0,362,1,0.181,0.43,0.33,0,73,28.9,21.1,25.53287197231834,0,0,0,1,0,7.3,1,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,1
21,48,430,11661,354,0,0,0,28,0,5.1,27,1114,1,0.258,0.75,0.0,1,52,20.476190476190474,2.2857142857142856,27.11860465116279,0,0,0,0,0,10.92,2,1,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,0
25,77,716,18792,440,0,0,0,13,0,5.7,0,824,1,0.01,0.38,0.28,1,91,28.64,3.08,26.24581005586592,0,0,0,1,0,22.75,1,0,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,0
23,88,945,25790,411,0,0,0,10,0,1.2,11,1163,1,0.17,0.3,0.39,1,56,41.08695652173913,3.8260869565217392,27.29100529100529,0,0,0,0,0,12.88,1,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0
10,247,311,8913,482,0,0,0,13,0,6.2,24,650,0,0.115,0.24,0.58,1,45,31.1,24.7,28.659163987138264,0,0,0,0,1,4.5,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
28,91,1512,37078,527,0,0,0,49,1,7.2,26,844,1,0.32,0.25,0.73,1,78,54.0,3.25,24.522486772486772,0,1,1,1,1,21.84,1,1,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,1
5,188,120,2662,306,0,0,0,49,1,7.0,37,1044,1,0.148,0.38,0.34,1,75,24.0,37.6,22.183333333333334,0,0,1,1,0,3.75,2,2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,1
24,109,539,11211,468,0,0,1,27,0,3.4,24,958,1,0.153,0.29,0.65,1,55,22.458333333333332,4.541666666666667,20.799628942486084,0,0,0,0,1,13.2,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,0
23,114,489,13138,487,0,0,0,9,0,3.2,17,843,1,0.187,0.61,0.22,0,45,21.26086956521739,4.956521739130435,26.867075664621677,0,0,0,0,0,10.35,0,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0
34,144,1053,27247,673,0,0,1,26,0,3.3,18,465,1,0.172,0.42,0.25,1,80,30.970588235294116,4.235294117647059,25.87559354226021,0,1,0,1,0,27.2,0,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,1
4,226,119,2695,344,0,0,0,12,0,4.1,12,154,1,0.247,0.79,0.06,3,57,29.75,56.5,22.647058823529413,0,0,0,0,0,2.28,1,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0
4,177,109,2635,322,0,0,0,25,0,8.4,39,1158,1,0.354,0.98,0.0,1,27,27.25,44.25,24.174311926605505,0,0,0,0,0,1.08,1,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0
25,75,605,16208,464,0,0,1,35,0,3.6,15,324,1,0.045,0.58,0.31,1,100,24.2,3.0,26.7900826446281,0,0,1,1,0,25.0,1,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0
20,34,644,16765,312,0,0,0,11,0,1.6,14,1018,0,0.01,0.73,0.21,0,59,32.2,1.7,26.032608695652176,0,0,0,0,0,11.8,1,1,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,0
